id,name,description,price
1,"Men's Classic Cotton T-Shirt","Made from 100% premium cotton for ultimate comfort and durability. Available in various colors.",24.99
2,"4K Ultra HD 55-Inch Smart TV","Experience stunning visuals with vibrant colors and deep blacks. Built-in streaming apps.",799.99
3,"Stainless Steel Chef's Knife Set","A 15-piece professional knife block set, forged from high-carbon German steel.",149.50
4,"iPhone 15 Pro","The latest in mobile technology, featuring the A17 Bionic chip and a pro-grade camera system.",999.00
5,"The Midnight Library","A novel by Matt Haig. A captivating story about choices, regrets, and the infinite possibilities of life.",15.99
6,"Women's High-Waist Yoga Pants","Buttery-soft, four-way stretch fabric that moves with you. Perfect for the gym or lounging.",39.99
7,"Noise-Cancelling Wireless Headphones","Immerse yourself in sound with industry-leading noise cancellation and 30-hour battery life.",349.00
8,"Robotic Vacuum Cleaner","Smart navigation and powerful suction keep your floors clean. Controllable via a smartphone app.",299.99
9,"MacBook Air M3","Incredibly thin and light, with the power of the M3 chip. All-day battery life for work and play.",1099.00
10,"Ergonomic Office Chair","Adjustable lumbar support, armrests, and seat height for all-day comfort while you work.",259.00
11,"Non-Stick Ceramic Cookware Set","10-piece pot and pan set. Toxin-free and scratch-resistant for healthy, easy cooking.",199.99
12,"AirPods Pro (3rd Generation)","Adaptive Audio, Personalized Spatial Audio, and up to 6 hours of listening time on a single charge.",249.00
13,"Men's Waterproof Hiking Boots","Durable and breathable design with superior grip for all terrains. Keeps your feet dry and comfortable.",129.95
14,"Atomic Habits","An Easy & Proven Way to Build Good Habits & Break Bad Ones by James Clear.",17.50
15,"Smart WiFi Light Bulbs (4-Pack)","Color-changing LED bulbs that work with Alexa and Google Home. No hub required.",35.99
16,"Electric Gooseneck Kettle","Precise temperature control for the perfect cup of coffee or tea. 1-liter capacity.",69.99
17,"Apple Watch Series 9","Your essential companion for a healthy life. Track your workouts, monitor your health, and stay connected.",399.00
18,"Portable Bluetooth Speaker","Waterproof and dustproof with rich, powerful sound. 12-hour playtime.",89.00
19,"Organic French Roast Coffee Beans","A 2lb bag of whole bean, dark roast coffee. Ethically sourced and artisan roasted.",28.50
20,"Queen Size Memory Foam Mattress","12-inch medium-firm mattress with a cooling gel layer for a comfortable night's sleep.",499.00
21,"The Silent Patient","A shocking psychological thriller by Alex Michaelides. A gripping, must-read novel.",14.25
22,"Denim Trucker Jacket","A timeless wardrobe staple. Made with durable, non-stretch denim for a classic fit.",79.50
23,"4-Person Dome Camping Tent","Easy setup and weather-resistant design. Perfect for weekend getaways and festivals.",99.99
24,"iPad Air","11-inch Liquid Retina display and the powerful M2 chip. Perfect for productivity and creativity.",599.00
25,"High-Speed Blender","1200-watt motor easily crushes ice, fruits, and vegetables for smoothies and soups.",119.99
26,"Electric Standing Desk","Adjustable height from 28 to 48 inches. Sturdy steel frame with a spacious desktop.",349.00
27,"Men's Leather Dress Shoes","Crafted from genuine full-grain leather with a cushioned insole for a polished, comfortable look.",150.00
28,"Gaming Mouse with RGB Lighting","Ultra-lightweight design with a 16,000 DPI optical sensor for precision and speed.",49.99
29,"Scented Soy Wax Candle Set","Set of 3 candles in lavender, vanilla, and eucalyptus scents. Long-lasting and clean burn.",29.99
30,"Dumbbell Hand Weight Set with Rack","Set includes pairs of 5, 8, and 12-pound dumbbells with a convenient storage stand.",85.00
31,"Air Fryer Toaster Oven Combo","A versatile countertop appliance that can air fry, bake, toast, and broil.",139.99
32,"Apple TV 4K","The future of television. Stream your favorite content in stunning 4K HDR with Dolby Atmos sound.",179.00
33,"Women's Puffer Vest","Lightweight and insulated, this vest is perfect for layering during transitional weather.",59.00
34,"Smart Digital Body Weight Scale","Tracks weight, BMI, body fat, and more. Syncs with your favorite fitness apps.",29.95
35,"The Psychology of Money","Timeless lessons on wealth, greed, and happiness by Morgan Housel.",18.00
36,"Professional Hair Dryer","Ionic technology reduces frizz and drying time. Includes concentrator and diffuser attachments.",125.00
37,"Insulated Stainless Steel Water Bottle","Keeps drinks cold for 24 hours or hot for 12. 32oz capacity, BPA-free.",27.99
38,"HomePod Mini","Room-filling, 360-degree audio in a compact design. A powerful smart home hub.",99.00
39,"Cast Iron Skillet (12-Inch)","Pre-seasoned and ready to use. Unparalleled heat retention for searing, frying, and baking.",34.99
40,"Men's Slim-Fit Chino Pants","A modern, versatile pant made with comfortable stretch twill fabric.",49.50
41,"4-Port USB-C Hub","Expand your laptop's connectivity with this slim and portable data hub.",19.99
42,"Microfiber Sheet Set (Queen)","Ultra-soft and wrinkle-resistant 4-piece bed sheet set. Hypoallergenic and breathable.",32.99
43,"Educated: A Memoir","An unforgettable memoir by Tara Westover about a young girl's struggle for self-invention.",16.50
44,"Digital Kitchen Scale","Precise measurements for baking and cooking. Measures in grams, ounces, pounds, and milliliters.",14.99
45,"Resistance Loop Exercise Bands (Set of 5)","Five varying resistance levels for a customized workout. Ideal for fitness, yoga, and physical therapy.",12.99
46,"Magic Keyboard for iPad","Features a great typing experience, a trackpad, and a floating cantilever design.",299.00
47,"Women's Wool Runner Sneakers","Made with soft, breathable merino wool for all-day comfort. Machine washable.",95.00
48,"External Solid State Drive (1TB)","Blazing-fast transfer speeds in a compact and durable design. USB-C compatible.",119.99
49,"Cold Brew Coffee Maker","2-quart glass pitcher with a fine-mesh filter for smooth, delicious cold brew at home.",39.95
50,"Silicone Kitchen Utensil Set","14-piece non-stick and heat-resistant cooking utensils with a holder. BPA-free.",28.99
